Index,氏名,個人DATA,試合数,チーム,背番号,ポジション,利き腕,走,S1,S2,バント,HR,2H+,2H,3H,1H*,1H+,1H,Fa,BS,BB,KS,K,ﾀﾌﾈｽ,特徴,備考,守備１,守備２,守備３,守備４,守備５,守備６,守備７,グレード,コントロール,三振,被本塁打,スタミナ,登板間隔
140,福永　裕基,96.09.16生 20試 率.173 1本,20,25 Dragons,7,内野手,右投右打,-,3,56,2,01 01 01 01 01,03 02 02 02 **,05 05 04 04 03,06 ** ** ** **,11 10 08 07 06,16 14 12 10 09,27 23 20 17 14,31 27 23 20 16,51,61 60 58 56 54,100,89 82 76 70 63,E,DB,,2B=1,3B=1, , , , , ,,,,,,
141,樋口　正修,98.11.17生 33試 率.091 0本,33,25 Dragons,97,内野手,右投左打,F,4,63,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,06 06 05 04 03,11 09 08 07 06,19 17 15 12 10,23 20 18 15 12,51,58 57 56 54 53,100,86 79 72 64 57,D,,準新人,2B=1,3B=1,SS=1,OF=2, , , ,,,,,,
142,福　敬登,92.06.16生 17試0勝1敗0S 防率0.54,17,25 Dragons,34,投手,左投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 03 02 02,06 06 05 04 03,12 10 09 08 06,15 13 11 10 08,31,37 36 35 33 32,100,72 64 56 49 41,D,,,P=4,,,,,,,G=3.8,C=1.0,K=1,HR=*,S=2,I=4.0
143,祖父江大輔,87.08.11生 19試0勝0敗0S 防率4.58,19,25 Dragons,33,投手,右投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 03 02 02,06 06 05 04 03,12 10 09 08 06,15 13 11 10 08,31,37 36 35 33 32,100,72 64 56 49 41,D,,,P=3,,,,,,,G=0.4,C=3.6,K=0,HR=-,S=2,I=3.5
144,梅野　雄吾,99.01.13生 26試2勝1敗0S 防率4.05,26,25 Dragons,46,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,D,WP,,P=4,,,,,,,G=1.5,C=1.8,K=2,HR=-,S=2,I=2.5
145,勝野　昌慶,97.06.12生 25試4勝4敗0S 防率5.00,25,25 Dragons,41,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,D,WP,,P=4,,,,,,,G=0.7,C=2.2,K=3,HR=-,S=2,I=3.0
146,マルテ,95.02.02生 35試1勝4敗2S 防率1.95,35,25 Dragons,52,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,C,WP,外国人,P=4,,,,,,,G=3.3,C=2.6,K=2,HR=-,S=2,I=2.0
147,三浦　瑞樹,99.09.02生 7試2勝3敗0S 防率4.64,7,25 Dragons,69,投手,左投右打,-,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 03 02 02,06 05 05 04 03,12 10 09 08 06,15 13 11 10 08,31,38 36 35 34 33,100,76 68 58 50 41,C,負傷90(BK),5/1より使用可能、準新人,P=4,,,,,,,G=1.2,C=0.8,K=2,HR=-,S=6,I=6.0
148,齋藤　綱記,96.12.18生 42試4勝0敗0S 防率1.64,42,25 Dragons,59,投手,左投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 03 02 02,06 06 05 04 03,12 10 09 08 06,15 13 11 10 08,31,37 36 35 33 32,100,72 64 56 49 41,C,,,P=4,,,,,,,G=3.8,C=0.3,K=3,HR=*,S=2,I=1.5
149,橋本　侑樹,98.01.08生 42試2勝3敗0S 防率3.38,42,25 Dragons,13,投手,左投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 03 02 02,06 06 05 04 03,12 10 09 08 06,15 13 11 10 08,31,37 36 35 33 32,100,72 64 56 49 41,C,WP,,P=4,,,,,,,G=2.0,C=1.8,K=3,HR=-,S=2,I=1.5
150,メヒア,97.03.03生 25試2勝2敗0S 防率3.35,25,25 Dragons,91,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,04 03 03 02 02,07 06 05 04 03,13 11 10 08 07,16 14 12 10 09,31,37 36 34 33 32,100,72 65 57 49 41,C,,外国人,P=5,,,,,,,G=1.8,C=2.3,K=1,HR=**,S=3,I=4.0
151,清水　達也,99.11.03生 55試4勝1敗4S 防率2.24,55,25 Dragons,50,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,B,WP,,P=5,,,,,,,G=3.2,C=1.9,K=3,HR=*,S=2,I=1.0
152,松山　晋也,00.06.23生 53試0勝1敗46S 防率1.54,53,25 Dragons,90,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,B,WP,,P=4,,,,,,,G=4.1,C=2.9,K=4,HR=*,S=2,I=1.0
153,藤嶋　健人,98.05.08生 60試1勝4敗1S 防率3.25,60,25 Dragons,54,投手,右投右打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 03 02 02 02,06 05 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 33 32,100,72 64 56 49 41,B,WP,,P=5,,,,,,,G=2.1,C=2.6,K=1,HR=-,S=2,I=0.5
154,涌井　秀章,86.06.21生 12試4勝6敗0S 防率4.12,12,25 Dragons,20,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 02 02,06 06 05 04 03,11 10 09 07 06,14 13 11 09 08,31,37 36 35 34 32,100,69 61 54 47 40,C,負傷30(WP),4/29より使用可能,P=6,,,,,,,G=1.0,C=1.3,K=1,HR=-,S=6,I=6.0
155,柳　裕也,94.04.22生 14試3勝5敗0S 防率3.29,14,25 Dragons,17,投手,右投右打,-,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,06 05 05 04 03,08 07 07 06 05,14 12 11 09 08,17 15 13 11 10,31,37 36 35 33 32,100,76 67 58 49 41,B,負傷75(WP),,P=6,,,,,,,G=2.0,C=0.9,K=2,HR=*,S=7,I=5.5
156,金丸　夢斗,03.02.01生 15試2勝6敗0S 防率2.61,15,25 Dragons,21,投手,左投左打,S,2,25,2,00 00 00 00 00,01 ** ** ** **,** 01 ** ** **,** ** ** ** **,03 02 02 02 01,05 04 04 03 02,08 08 07 06 05,12 11 09 08 06,31,35 34 33 33 32,100,58 53 49 44 40,B,PO,5/5より使用可能、新人,P=5,,,,,,,G=2.0,C=3.2,K=2,HR=-,S=7,I=6.0
157,マラー,97.10.07生 18試4勝9敗0S 防率3.54,18,25 Dragons,93,投手,左投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,04 03 03 03 02,06 05 05 04 03,10 09 08 07 06,14 12 10 09 07,31,38 37 35 34 33,100,73 65 57 49 41,B,WP,外国人,P=5,,,,,,,G=0.9,C=2.4,K=2,HR=-,S=7,I=6.5
158,大野　雄大,88.09.26生 20試11勝4敗0S 防率2.10,20,25 Dragons,22,投手,左投左打,-,2,25,3,00 00 00 00 00,** ** ** ** **,01 ** ** ** **,** ** ** ** **,02 02 02 02 01,05 04 03 03 02,08 07 07 06 05,12 10 09 08 06,31,37 36 35 33 32,100,60 56 50 45 40,B,PO,,P=5,,,,,,,G=3.0,C=2.7,K=1,HR=-,S=7,I=6.0
159,松葉　貴大,90.08.14生 23試7勝11敗0S 防率2.72,23,25 Dragons,38,投手,左投左打,-,2,25,3,00 00 00 00 00,** ** ** ** **,01 ** ** ** **,** ** ** ** **,05 04 04 03 03,10 08 07 06 05,19 17 14 12 10,22 19 17 14 12,31,38 36 35 34 32,100,84 76 67 59 51,A,WP,,P=6,,,,,,,G=1.9,C=2.2,K=0,HR=-,S=7,I=5.5
160,_橋　宏斗,02.08.09生 26試8勝10敗0S 防率2.83,26,25 Dragons,19,投手,右投右打,-,2,25,3,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,15 13 12 10 08,31,35 34 33 32 32,100,82 72 63 53 44,A,WP,,P=6,,,,,,,G=2.6,C=2.0,K=2,HR=-,S=8,I=5.0
161,小園　海斗,00.06.07生 138試 率.309 3本,138,25 Carp,5,内野手,右投左打,F,4,70,2,01 01 01 00 00,03 02 02 02 02,07 06 05 04 04,08 07 06 05 **,16 14 12 10 09,24 21 18 15 13,40 35 31 26 21,45 39 34 29 24,51,61 59 57 56 54,100,97 95 93 91 88,S,IH,,2B=1,3B=3,SS=2, , , , ,,,,,,
162,ファビアン,98.03.06生 138試 率.276 17本,138,25 Carp,61,外野手,右投右打,-,3,61,0,04 03 03 03 02,06 06 05 04 03,11 10 08 07 06,** ** ** ** **,17 15 13 11 09,23 20 17 15 12,34 30 26 23 19,39 35 30 25 21,51,58 56 55 54 52,100,94 90 86 83 79,S,DB,外国人,OF=3(L), , , , , , ,,,,,,
163,末包　昇大,96.05.27生 123試 率.243 11本,123,25 Carp,52,外野手,右投右打,-,3,61,0,03 03 02 02 02,05 04 04 03 **,08 07 06 05 05,** 08 07 06 **,14 12 11 09 08,19 17 15 12 10,29 26 22 19 16,36 32 28 24 20,51,61 59 57 56 54,100,91 86 81 76 70,A,DB,,OF=3, , , , , , ,,,,,,
164,坂倉　将吾,98.05.29生 104試 率.238 5本,104,25 Carp,31,捕手,右投左打,S,3,62,2,02 02 01 01 01,05 04 04 03 03,11 10 08 07 06,** ** 09 ** **,16 14 12 10 08,20 18 15 13 11,29 25 22 19 16,35 31 27 23 19,51,67 64 61 59 56,100,92 87 83 78 74,A,DB,4/29より使用可能,C=4(T:10),1B=2, , , , , ,,,,,,
165,モンテロ,98.08.17生 105試 率.255 9本,105,25 Carp,95,内野手,右投右打,S,2,25,0,03 03 02 02 02,05 05 04 04 03,10 09 08 07 05,** ** ** ** 06,16 14 12 10 08,21 18 16 14 11,31 28 24 21 17,38 33 29 25 20,51,59 57 56 54 53,100,90 84 79 73 67,A,負傷30(DB),外国人,1B=3, , , , , , ,,,,,,
166,菊池　涼介,90.03.11生 113試 率.251 4本,113,25 Carp,33,内野手,右投右打,F,4,66,3,01 01 01 01 01,04 03 03 02 02,08 07 06 05 05,** ** ** ** **,14 12 11 09 07,20 17 15 13 11,31 28 24 20 17,36 32 28 24 20,51,56 55 54 53 52,100,92 87 82 77 73,A,IH,,2B=3, , , , , , ,,,,,,
167,中村　奨成,99.06.06生 104試 率.282 9本,104,25 Carp,96,外野手,右投右打,F,4,59,2,03 03 02 02 02,06 05 04 04 03,11 09 08 07 06,12 10 09 08 **,17 16 13 11 10,23 21 18 15 12,34 31 27 23 19,39 35 30 26 21,51,58 56 55 54 53,100,94 91 88 85 81,B,IH,,OF=4, , , , , , ,,,,,,
168,矢野　雅哉,98.12.16生 112試 率.208 1本,112,25 Carp,4,内野手,右投左打,-,3,61,3,01 01 00 00 00,** ** 01 01 01,03 03 02 02 02,04 ** 03 ** **,09 08 07 06 05,15 13 11 10 08,26 23 20 17 14,32 28 24 21 17,51,65 63 60 58 55,100,90 85 79 74 69,A,DB,,2B=1,SS=4, , , , , ,,,,,,
169,佐々木　泰,02.12.24生 54試 率.271 0本,54,25 Carp,10,内野手,右投右打,S,3,64,2,01 01 00 00 00,** ** 01 01 01,03 02 02 02 **,** 03 ** ** 02,11 09 08 07 06,18 16 14 12 10,33 29 26 22 18,37 32 28 24 20,51,55 54 53 52 52,100,93 89 86 82 78,B,負傷30(DB),5/20より使用可能、新人,3B=3,OF=2, , , , , ,,,,,,
170,大盛　穂,96.08.31生 102試 率.265 3本,102,25 Carp,59,外野手,右投左打,F,4,71,2,02 02 02 01 01,04 03 03 02 02,07 06 05 04 04,** ** 06 05 **,14 12 11 09 07,20 18 15 13 11,33 29 25 22 18,36 32 28 24 20,51,58 56 55 54 53,100,89 83 77 71 65,B,IH,,OF=4(C), , , , , , ,,,,,,
171,野間　峻祥,93.01.28生 79試 率.247 0本,79,25 Carp,37,外野手,右投左打,-,3,63,2,01 00 00 00 00,** 01 01 01 01,04 03 03 02 02,05 05 04 03 03,12 11 09 08 06,19 17 14 12 10,32 28 25 21 17,37 33 28 24 20,51,63 60 58 56 54,100,93 90 86 82 78,C,DB,,OF=3, , , , , , ,,,,,,
172,秋山　翔吾,88.04.16生 64試 率.262 1本,64,25 Carp,9,外野手,右投左打,-,2,25,2,01 01 01 00 00,02 02 02 02 01,06 05 04 04 03,** ** ** ** **,13 12 10 08 07,20 18 15 13 11,34 30 27 23 19,39 35 30 25 21,51,59 58 56 55 53,100,93 88 84 80 76,C,負傷30(DB),,OF=2, , , , , , ,,,,,,
173,二俣　翔一,02.10.21生 54試 率.186 3本,54,25 Carp,99,内野手,右投右打,-,3,61,3,03 02 02 02 01,04 03 03 03 02,07 06 05 04 04,** ** 06 05 **,12 10 09 08 06,16 14 12 10 09,24 22 19 16 13,29 26 22 19 16,51,60 59 57 55 53,100,90 84 78 72 67,C,負傷45(DB),,1B=2,3B=2,SS=1,OF=2, , , ,,,,,,
174,羽月隆太郎,00.04.19生 74試 率.295 0本,74,25 Carp,0,内野手,右投左打,F,6,78,2,02 02 02 02 01,03 03 03 ** 02,05 05 04 04 03,07 06 05 ** **,13 12 10 09 07,20 17 15 13 11,33 29 25 22 18,37 32 28 24 20,51,61 60 58 56 54,100,89 83 77 72 66,C,IH,,2B=1,3B=2, , , , , ,,,,,,
175,石原　貴規,98.02.03生 51試 率.192 0本,51,25 Carp,32,捕手,右投右打,S,2,25,3,02 02 02 02 01,04 03 03 03 02,07 06 06 05 04,** ** ** ** **,12 11 09 08 07,17 15 13 11 10,27 24 21 17 14,33 29 25 21 17,51,60 58 56 55 53,100,91 85 80 75 69,D,DB,,C=5(T:1), , , , , , ,,,,,,
176,堂林　翔太,91.08.17生 44試 率.186 1本,44,25 Carp,7,内野手,右投右打,S,2,25,2,01 01 01 00 00,03 03 02 02 02,08 07 06 05 04,** ** ** ** **,12 10 09 08 06,16 14 12 10 08,24 21 18 15 13,28 25 22 19 15,51,61 59 57 56 54,100,87 81 74 67 60,D,,,1B=3, , , , , , ,,,,,,
177,田村　俊介,03.08.25生 25試 率.254 1本,25,25 Carp,60,外野手,左投左打,-,3,59,2,01 01 01 00 00,02 ** ** 01 01,03 03 03 02 02,05 04 04 03 03,10 09 08 07 05,15 14 12 10 08,26 23 20 17 14,29 26 22 19 16,51,60 58 56 55 53,100,89 83 77 71 65,E,,,1B=3,OF=2, , , , , ,,,,,,
178,前川　誠太,03.04.04生 28試 率.185 0本,28,25 Carp,93,内野手,右投右打,S,3,59,2,00 00 00 00 00,02 02 01 01 01,06 05 04 04 03,** ** ** ** **,10 09 08 06 05,14 12 11 09 07,22 20 17 14 12,25 22 19 17 14,51,59 58 56 55 53,100,90 85 79 74 69,D,,7/28入団、準新人,1B=2,2B=1,3B=1,SS=1, , , ,,,,,,
179,會澤　翼,88.04.13生 24試 率.116 0本,24,25 Carp,27,捕手,右投右打,S,3,59,2,00 00 00 00 00,01 01 01 01 01,04 03 03 03 02,** ** ** ** **,08 07 06 05 04,11 10 09 08 06,19 17 15 12 10,22 20 17 14 12,51,64 61 59 57 55,100,87 80 73 66 59,E,DB,,C=4(T:10), , , , , , ,,,,,,
180,林　晃汰,00.11.16生 22試 率.188 2本,22,25 Carp,44,内野手,右投左打,S,2,25,2,02 02 01 01 01,03 03 02 02 02,06 05 05 04 03,** ** ** ** **,10 09 08 07 05,14 13 11 09 08,23 20 18 15 12,26 23 20 17 14,51,57 56 55 53 52,100,85 77 69 62 54,E,,,1B=2,3B=1,OF=2, , , , ,,,,,,
181,田中　広輔,89.07.03生 15試 率.147 0本,15,25 Carp,2,内野手,右投左打,-,3,58,2,01 01 01 00 00,02 ** ** 01 01,03 03 02 02 02,** ** ** ** **,07 06 05 04 04,11 09 08 07 06,18 16 14 12 10,24 21 18 16 13,51,70 66 63 60 56,100,90 85 79 73 68,E,DB,,1B=2,3B=2,SS=1, , , , ,,,,,,
182,上本　崇司,90.08.22生 21試 率.185 0本,21,25 Carp,0,内野手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 01,04 03 03 02 02,** ** ** ** **,08 07 06 06 05,13 12 10 09 07,23 20 18 15 12,26 23 20 17 14,51,61 59 57 56 54,100,89 83 77 72 66,E,,,2B=1,3B=1,OF=2, , , , ,,,,,,
183,久保　修,00.09.29生 17試 率.154 0本,17,25 Carp,56,外野手,右投右打,F,3,61,2,00 00 00 00 00,02 02 01 01 01,06 05 04 04 03,** ** ** ** **,08 08 07 06 05,12 11 09 08 06,19 16 14 12 10,21 19 17 14 12,51,63 60 58 56 54,100,86 78 70 63 55,E,,,OF=2, , , , , , ,,,,,,
184,辻　大雅,04.08.29生 16試0勝0敗0S 防率1.13,16,25 Carp,98,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,D,,7/28入団、準新人,P=3,,,,,,,G=1.2,C=4.0,K=4,HR=**,S=2,I=4.0
185,塹江　敦哉,97.02.21生 28試0勝1敗1S 防率5.40,28,25 Carp,36,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,D,WP,,P=5,,,,,,,G=1.2,C=1.8,K=3,HR=-,S=2,I=2.5
186,ドミンゲス,96.01.18生 6試1勝1敗0S 防率3.71,6,25 Carp,42,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,06 05 04 04 03,10 09 07 06 05,17 15 13 11 09,20 18 15 13 11,31,32 32 32 31 31,100,68 61 54 47 40,E,WP,外国人,P=4,,,,,,,G=2.6,C=1.5,K=2,HR=-,S=5,I=8.0
187,鈴木　健矢,97.12.11生 24試2勝0敗0S 防率1.89,24,25 Carp,41,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,D,BK,,P=5,,,,,,,G=3.3,C=2.0,K=0,HR=-,S=2,I=2.5
188,高橋　昂也,98.09.27生 24試2勝1敗0S 防率2.57,24,25 Carp,34,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 01,04 03 03 03 02,** ** ** ** **,08 07 06 05 05,12 11 10 08 07,21 18 16 14 11,24 21 18 16 13,31,32 32 32 31 31,100,74 65 57 49 41,D,WP,,P=5,,,,,,,G=1.9,C=3.5,K=2,HR=-,S=2,I=2.5
189,岡本　駿,02.06.12生 41試1勝1敗0S 防率2.88,41,25 Carp,53,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,C,BK,新人,P=5,,,,,,,G=1.6,C=4.0,K=3,HR=*,S=2,I=1.5
190,中_　翔太,92.08.10生 51試3勝2敗0S 防率2.36,51,25 Carp,21,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,06 06 05 04 03,10 09 08 07 06,19 16 14 12 10,21 19 17 14 12,31,32 32 32 31 31,100,74 65 57 49 41,B,WP,,P=5,,,,,,,G=2.8,C=3.1,K=2,HR=-,S=2,I=1.0
191,_　太一,01.07.26生 8試3勝2敗0S 防率2.58,8,25 Carp,22,投手,左投左打,-,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,17 16 14 12 10,21 19 16 14 11,31,32 32 31 31 31,100,72 65 57 49 41,A,,8/1より使用可能、準新人,P=4,,,,,,,G=2.6,C=2.5,K=2,HR=-,S=7,I=5.5
192,ハーン,94.08.30生 55試1勝2敗8S 防率3.35,55,25 Carp,68,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,B,WP,外国人,P=4,,,,,,,G=1.4,C=2.1,K=3,HR=-,S=2,I=1.0
193,栗林　良吏,96.07.09生 55試1勝1敗10S 防率2.24,55,25 Carp,20,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,06 06 05 04 03,10 09 08 07 06,19 16 14 12 10,21 19 17 14 12,31,32 32 32 31 31,100,74 65 57 49 41,B,,,P=5,,,,,,,G=3.9,C=1.8,K=3,HR=-,S=2,I=1.0
194,森浦　大輔,98.06.15生 60試2勝3敗12S 防率1.63,60,25 Carp,13,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,07 06 05 04 04,11 10 08 07 06,20 17 15 13 11,23 20 18 15 12,31,32 32 32 31 31,100,74 65 57 49 41,B,WP,,P=5,,,,,,,G=3.5,C=2.5,K=4,HR=-,S=2,I=0.5
195,島内颯太郎,96.10.14生 60試4勝2敗1S 防率1.40,60,25 Carp,43,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,06 06 05 04 03,10 09 08 07 06,19 16 14 12 10,21 19 17 14 12,31,32 32 32 31 31,100,74 65 57 49 41,B,WP,,P=4,,,,,,,G=5.2,C=1.0,K=3,HR=*,S=2,I=0.5
196,玉村　昇悟,01.04.16生 17試6勝8敗0S 防率3.87,17,25 Carp,65,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,06 05 04 04 03,10 09 08 06 05,19 16 14 12 10,21 19 17 14 12,31,33 33 32 31 31,100,64 57 52 46 40,C,PO,,P=3,,,,,,,G=0.1,C=3.5,K=2,HR=*,S=6,I=6.0
197,森　翔平,98.01.01生 23試7勝8敗0S 防率3.55,23,25 Carp,16,投手,左投左打,-,2,25,3,00 00 00 00 00,01 01 01 01 **,03 02 02 02 02,** ** ** ** **,08 07 06 05 04,13 12 10 08 07,23 20 18 15 12,26 23 20 17 14,31,31 31 31 31 **,100,66 60 53 47 40,B,WP,,P=5,,,,,,,G=0.7,C=2.7,K=2,HR=-,S=7,I=6.0
198,大瀬良大地,91.06.17生 23試7勝9敗0S 防率3.48,23,25 Carp,14,投手,右投右打,S,2,25,3,00 00 00 00 00,01 ** ** ** **,** 01 01 ** **,** ** ** ** **,04 03 03 03 02,07 06 05 05 04,13 12 10 09 07,16 14 13 11 09,31,32 32 31 31 31,100,72 64 56 49 41,B,WP,,P=5,,,,,,,G=1.3,C=2.8,K=1,HR=-,S=7,I=5.5
199,森下　暢仁,97.08.25生 22試6勝14敗0S 防率2.48,22,25 Carp,18,投手,右投右打,-,2,25,3,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,06 06 05 04 03,11 09 08 07 06,20 18 15 13 11,23 21 18 15 12,31,35 34 33 33 32,100,83 74 64 55 46,A,WP,,P=6,,,,,,,G=2.5,C=2.7,K=1,HR=-,S=8,I=6.0
200,床田　寛樹,95.03.01生 26試9勝12敗0S 防率3.15,26,25 Carp,19,投手,左投左打,S,2,25,3,01 01 01 01 00,02 02 ** ** 01,04 03 03 02 02,** ** ** ** **,10 09 07 06 05,15 14 12 10 08,27 24 21 18 14,30 27 23 20 16,31,31 31 31 ** **,100,87 80 73 67 60,A,WP,,P=5,,,,,,,G=1.2,C=3.0,K=1,HR=-,S=8,I=5.0
201,オスナ,92.12.12生 141試 率.256 14本,141,25 Swallows,13,内野手,右投右打,S,3,63,0,03 03 03 02 02,05 05 04 03 03,08 07 07 06 05,** ** ** ** **,14 13 11 09 08,20 18 16 13 11,32 28 25 21 17,39 34 30 25 21,51,60 58 56 55 53,100,94 91 88 84 81,S,DB,外国人,1B=3, , , , , , ,,,,,,
202,内山　壮真,02.06.30生 116試 率.262 8本,116,25 Swallows,33,捕手,右投右打,F,4,67,2,02 02 02 02 01,05 04 04 03 02,10 09 07 06 05,** ** 08 ** **,15 14 12 10 08,21 18 16 14 11,31 28 24 21 17,38 34 29 25 20,51,64 62 59 57 55,100,94 91 87 83 80,A,IH,,C=3(T:10),3B=1,OF=3, , , , ,,,,,,
203,岩田　幸宏,97.07.31生 126試 率.266 0本,126,25 Swallows,64,外野手,左投左打,F,5,70,3,00 00 00 00 00,01 01 01 01 **,03 02 02 02 02,05 04 04 03 **,12 11 09 08 07,20 17 15 13 11,34 30 27 23 19,39 34 30 25 21,51,61 59 58 56 54,100,95 92 89 86 84,A,IH,,OF=4(C), , , , , , ,,,,,,
204,山田　哲人,92.07.16生 108試 率.231 12本,108,25 Swallows,1,内野手,右投右打,-,3,61,0,05 04 03 03 02,07 06 05 04 03,10 09 08 07 06,** ** ** ** **,15 13 11 10 08,19 17 15 13 10,28 25 21 18 15,36 31 27 23 19,51,63 61 59 56 54,100,93 88 84 80 76,A,DB,,2B=3, , , , , , ,,,,,,
205,古賀　優大,98.08.07生 87試 率.280 2本,87,25 Swallows,2,捕手,右投右打,S,3,60,3,01 01 01 01 00,03 02 02 02 02,06 06 05 04 03,** ** ** ** **,14 12 10 09 07,21 18 16 13 11,35 31 27 23 19,41 36 32 27 22,51,58 57 55 54 53,100,97 95 92 90 88,B,DB,,C=6(T:-19), , , , , , ,,,,,,
206,赤羽　由紘,00.06.29生 103試 率.209 2本,103,25 Swallows,00,内野手,右投右打,F,4,63,3,01 01 01 01 00,03 02 02 02 02,06 06 05 04 03,07 ** ** ** 04,12 10 09 08 06,16 14 13 11 09,26 23 20 17 14,32 29 25 21 17,51,60 58 57 55 53,100,89 83 77 72 66,B,IH,,1B=2,2B=2,3B=3,SS=1,OF=3, , ,,,,,,
207,長岡　秀樹,01.09.26生 67試 率.243 0本,67,25 Swallows,7,内野手,右投左打,S,3,58,2,01 00 00 00 00,03 02 02 02 01,07 07 06 05 04,08 ** 07 06 05,15 13 11 10 08,21 19 16 14 11,33 30 26 22 18,40 35 31 26 21,51,55 54 54 53 52,100,97 95 92 90 88,A,負傷90(DB),,3B=1,SS=4, , , , , ,,,,,,
208,サンタナ,92.08.05生 60試 率.274 3本,60,25 Swallows,25,外野手,右投右打,S,3,58,0,02 02 02 02 01,05 04 03 03 02,08 08 07 06 05,** ** ** ** **,15 13 11 10 08,21 19 16 14 11,33 29 26 22 18,37 33 29 24 20,51,69 66 62 59 56,100,88 82 75 69 62,A,負傷90(DB),外国人,OF=3(L), , , , , , ,,,,,,
